addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
2602 CHESLEY AVE,153800.0,2012,0.0,153800.0,3948.57,5460,031,27,0,0,4600.0,R-3,97504.18,7196.0,11144.57,"PLUTO 2013, LLC",154.0
2904 CHESLEY AVE,112900.0,2012,0.0,112900.0,915.33,5482D,013,27,1,0,3000.0,R-3,69998.0,4967.0,5882.33,,60.0
3300 CHESLEY AVE,146100.0,2012,0.0,146100.0,1295.81,5570C,046,27,0,0,7088.67,R-4,93761.0,7064.0,8359.81,,60.0
4010 CHESMONT AVE,134100.0,2012,0.0,134100.0,4012.28,5843,008,27,1,0,2700.0,R-5,90625.0,7397.0,11409.28,,60.0
0713 N CHESTER ST,25000.0,2012,0.0,25000.0,15324.61,1621,007,7,0,0,600.0,B-2-2,,,,,
0715 N CHESTER ST,10200.0,2012,0.0,10200.0,4626.2,1621,008,7,0,1,980.0,B-2-2,,,,,
0743 N CHESTER ST,19000.0,2012,0.0,19000.0,1199.46,1621,022,7,0,0,910.0,B-2-2,15919.61,1663.0,2862.46,,151.0
1310 N CHESTER ST,12000.0,2012,0.0,12000.0,1107.84,1517,032,8,0,0,994.0,R-8,2221.0,0.0,1107.84,,235.0
1330 N CHESTER ST,12000.0,2012,0.0,12000.0,2071.43,1517,042,8,0,0,980.0,R-8,2671.44,0.0,2071.43,LOKORUSO LLC,264.0
1332 N CHESTER ST,12000.0,2012,0.0,12000.0,1083.14,1517,043,8,0,0,980.0,R-8,2000.0,0.0,1083.14,MACK PROPERTIES INC.,195.0
1413 N CHESTER ST,10200.0,2012,0.0,10200.0,1300.32,1501,027,8,0,1,594.0,R-8,,,,,
1428 N CHESTER ST,3000.0,2012,0.0,3000.0,996.49,1498,009,8,0,1,910.0,R-8,,,,,
1726 N CHESTER ST,12000.0,2012,0.0,12000.0,3664.99,1459,023,8,0,0,1050.0,R-8,,,,,
1728 N CHESTER ST,12000.0,2012,0.0,12000.0,14789.3,1459,024,8,0,0,1050.0,R-8,,,,,
1734 N CHESTER ST,12000.0,2012,0.0,12000.0,416.24,1459,027,8,0,0,933.33,R-8,2000.0,0.0,416.24,MACK PROPERTIES INC.,195.0
1735 N CHESTER ST,12000.0,2012,0.0,12000.0,460.88,1460,050,8,0,1,980.0,R-8,,,,,
1744 N CHESTER ST,1000.0,2012,0.0,1000.0,595.11,1459,032,8,0,1,980.0,R-8,,,,,
1746 N CHESTER ST,3000.0,2012,0.0,3000.0,3114.73,1459,033,8,0,1,980.0,R-8,,,,,
1808 N CHESTER ST,3000.0,2012,0.0,3000.0,424.45,1449,069,8,0,1,898.33,R-8,,,,,
1812 N CHESTER ST,3000.0,2012,0.0,3000.0,9961.5,1449,071,8,0,1,875.0,R-8,,,,,
1826 N CHESTER ST,12000.0,2012,0.0,12000.0,1895.24,1449,078,8,1,0,956.67,R-8,,,,,
1827 N CHESTER ST,3000.0,2012,0.0,3000.0,7369.11,1450,014,8,0,1,956.67,R-8,,,,,
1838 N CHESTER ST,3000.0,2012,0.0,3000.0,2333.66,1449,084,8,0,1,956.67,R-8,,,,,
1840 N CHESTER ST,3000.0,2012,0.0,3000.0,2796.99,1449,085,8,0,1,956.67,R-8,,,,,
1844 N CHESTER ST,12000.0,2012,0.0,12000.0,2418.42,1449,087,8,0,1,956.67,R-8,,,,,
